,COUNTRY,ST_/_PROV,CITY,STREET_ADDRESS,POSTAL_CODE,STRUCTURE_CATEGORY,ON-NET_TYPE,BUILDING_NAME,ZAYO_BUILDING_CODE,CLLI_CODE,LATA,NPA,NXX,LATITUDE,LONGITUDE,MARKET,geometry,LAT_LON
4994,USA,ID,Coeur D Alene,416 E Coeur Dalene Ave,83814,Enterprise Location,Fiber Only,9614.0,ID-416,CRALIDMV,960,208.0,667.0,47.674864,-116.780357,Coeur d'Alene,POINT (-116.780357 47.674864),47.674864-116.780357
4996,USA,ID,Coeur D Alene,418 E Coeur Dalene Ave,83814,Enterprise Location,Fiber Only,9615.0,ID-418,CRALID4Z,960,208.0,667.0,47.674864,-116.780357,Coeur d'Alene,POINT (-116.780357 47.674864),47.674864-116.780357
18092,CANADA,BC,Vancouver,1212 Broadway W,V6H 3V1,Enterprise Location,On-Net,425198.0,,VANCBCJN,888,,,49.26323,-123.131813,Vancouver BC,POINT (-123.131813 49.26323),49.26323-123.131813
18429,CANADA,BC,Vancouver,1212 Broadway W,V6H 3V1,Enterprise Location,On-Net,451353.0,,VANCBCJN,888,,,49.26323,-123.131813,Vancouver BC,POINT (-123.131813 49.26323),49.26323-123.131813
1860,CANADA,AB,Calgary,645 7 Ave Sw,T2P 4G8,Enterprise Location,Fiber Only,421130.0,,CLGRABDG,888,,,51.04657,-114.07582,Calgary AB,POINT (-114.07582 51.04657),51.04657-114.07582
36832,CANADA,AB,Calgary,645 7th Ave SW,T2P 4G8,Enterprise Location,Stubbed,381975.0,,CLGRABDG,888,,,51.04657,-114.07582,Calgary AB,POINT (-114.07582 51.04657),51.04657-114.07582
15346,CANADA,AB,Calgary,300 5 Ave Sw,T2P 3C4,Enterprise Location,On-Net,420589.0,AB-300,CLGRABJE,888,,,51.048809,-114.068345,Calgary AB,POINT (-114.068345 51.048809),51.048809-114.068345
36883,CANADA,AB,Calgary,300 - 5th Ave. SW,T2P 3C4,Enterprise Location,Stubbed,417026.0,,CLGRABJE,888,,,51.048809,-114.068345,Calgary AB,POINT (-114.068345 51.048809),51.048809-114.068345
13085,UNITED KINGDOM,,Maidstone,Lodge Road,ME14 5NZ,Data Center,Fiber Only,144869.0,,MDSTENAK,,,,51.27876,0.54708,United Kingdom,POINT (0.54708 51.27876),51.278760.54708
13089,UNITED KINGDOM,,Maidstone,Lodge Road off New Cut Road,ME14 5EH,Data Center,Fiber Only,144835.0,KEN-MLR,MDSTENAK,,,,51.27876,0.54708,United Kingdom,POINT (0.54708 51.27876),51.278760.54708
13049,UNITED KINGDOM,,Gerrards Cross,"Prestwick Farm, Oxford Rd & Fulmer Ln",SL9 7BZ,Zayo POP,Fiber Only,144800.0,SLG-GRX,GRCREN03,,,,51.57506,-0.5389,United Kingdom,POINT (-0.5389 51.57506),51.57506-0.5389
29329,UNITED KINGDOM,,Gerrards Cross,Oxford Rd,SL9 7BZ,ILA,Restricted,154107.0,,,,,,51.57506,-0.5389,United Kingdom,POINT (-0.5389 51.57506),51.57506-0.5389
13079,UNITED KINGDOM,,Purton,Collins Lane & B4553,SN5 4JS,Zayo POP,Fiber Only,144798.0,SWI-PTN,PRTNEN01,,,,51.5925,-1.8437,United Kingdom,POINT (-1.8437 51.5925),51.5925-1.8437
26003,UNITED KINGDOM,,Swindon,Purton,SN5 4JS,ILA,Restricted,154105.0,,,,,,51.5925,-1.8437,United Kingdom,POINT (-1.8437 51.5925),51.5925-1.8437
13064,UNITED KINGDOM,,Tewkesbury,Oldbury Road,GL20 5NG,Zayo POP,Fiber Only,144796.0,GLO-TWY,TWBYEN09,,,,51.99736,-2.1527,United Kingdom,POINT (-2.1527 51.99736),51.99736-2.1527
29317,UNITED KINGDOM,,Tewkesbury,Oldbury Road,GL20 5NG,ILA,Restricted,154106.0,,,,,,51.99736,-2.1527,United Kingdom,POINT (-2.1527 51.99736),51.99736-2.1527
11731,UNITED KINGDOM,,Milton Keynes,"Manor Farm, Sherington Rd",MK16 9NN,Zayo POP,Fiber Only,144496.0,SHN-150,MLKYEN59,,,,52.10451,-0.70621,United Kingdom,POINT (-0.70621 52.10451),52.10451-0.70621
26047,UNITED KINGDOM,,Milton Keynes,"Manor Farm,Sherington",MK16 9NN,ILA,Restricted,154363.0,,,,,,52.10451,-0.70621,United Kingdom,POINT (-0.70621 52.10451),52.10451-0.70621
13001,UNITED KINGDOM,,Shareshill,"The Cottage, Wolverhampton Rd, Laney Green",WV10 7LU,Zayo POP,Fiber Only,144794.0,SHL-210,WVHMEN35,,,,52.65876,-2.06139,United Kingdom,POINT (-2.06139 52.65876),52.65876-2.06139
26696,UNITED KINGDOM,,Wolverhampton,"Whitbrook Cottage, Wolverhampton Rd, Laney Green, Sharehill",WV10 7LU,ILA,Restricted,154362.0,,,,,,52.65876,-2.06139,West Midlands GBR,POINT (-2.06139 52.65876),52.65876-2.06139
13074,UNITED KINGDOM,,Nottingham,Stragglethorpe Rd,NG12 2LT,Zayo POP,Fiber Only,144803.0,CVN-235,NTTHEN63,,,,52.93611,-1.06188,Nottingham GBR,POINT (-1.06188 52.93611),52.93611-1.06188
26690,UNITED KINGDOM,,Radcliffe on Trent,Stragglethorpe Road,NG12 2LT,ILA,Restricted,154358.0,,,,,,52.93611,-1.06188,United Kingdom,POINT (-1.06188 52.93611),52.93611-1.06188
12999,UNITED KINGDOM,,Hanchurch,"New Hayes Farm, Trenthan Rd",ST5 4DX,Zayo POP,Fiber Only,144793.0,STO-HCH,STFHEN10,,,,52.97353,-2.25386,Stafford GBR,POINT (-2.25386 52.97353),52.97353-2.25386
26006,UNITED KINGDOM,,Hanchurch,"New Hays Farm, Trentham Road",ST5 4DX,ILA,Restricted,154108.0,,,,,,52.97353,-2.25386,United Kingdom,POINT (-2.25386 52.97353),52.97353-2.25386
8097,UNITED KINGDOM,,Stoke-on-Trent,"365 Hillside, Festival Way, (ST1)",ST1 5SH,Data Center,Fiber Only,143022.0,STK-HL1,STOTEN21,,,,53.002668,-2.179404,United Kingdom,POINT (-2.179404 53.002668),53.002668-2.179404
40672,UNITED KINGDOM,,Stoke on Trent,Hillside Festival Way (ST2),ST1 5SH,Data Center,Stubbed,148383.0,STK-HL2,,,,,53.002668,-2.179404,United Kingdom,POINT (-2.179404 53.002668),53.002668-2.179404
12433,UNITED KINGDOM,,Bangor,Technium Cast Parc Menai,LL57 4BN,Enterprise Location,Fiber Only,223769.0,,,,,,53.22739,-4.129263,United Kingdom,POINT (-4.129263 53.22739),53.22739-4.129263
13980,UNITED KINGDOM,,Bangor,"Bangor University, Dean Street",LL57 1UT,Enterprise Location,On-Net,147268.0,,,,,,53.22739,-4.129263,United Kingdom,POINT (-4.129263 53.22739),53.22739-4.129263
9557,UNITED KINGDOM,,St Asaph,St Asaph Business Park,LL17 0LJ,Enterprise Location,Fiber Only,199094.0,,,,,,53.2515,-0.477562,United Kingdom,POINT (-0.477562 53.2515),53.2515-0.477562
9744,UNITED KINGDOM,,St Asaph,Unit 4 Ffordd Richard Davies St Asaph Bus Park,LL17 0LJ,Enterprise Location,Fiber Only,223794.0,,,,,,53.2515,-0.477562,United Kingdom,POINT (-0.477562 53.2515),53.2515-0.477562
12827,IRELAND,,Dublin,"IDA Bus Pk, Blanchardstown Indst Est, Blanchardstown",D15,Enterprise Location,Fiber Only,460476.0,,,,,,53.34807,-6.24827,Dublin IRL,POINT (-6.24827 53.34807),53.34807-6.24827
14067,IRELAND,,Dublin,Cleanup Only,1,Non Cell Site - Unknown,On-Net,423766.0,,,,,,53.34807,-6.24827,Dublin IRL,POINT (-6.24827 53.34807),53.34807-6.24827
13059,UNITED KINGDOM,,Doncaster,"Lodge Farm, White Cross Lane, Alverley",DN11 9DL,Zayo POP,Fiber Only,144808.0,DON-WDH,DNCSEN30,,,,53.48051,-1.15743,United Kingdom,POINT (-1.15743 53.48051),53.48051-1.15743
26686,UNITED KINGDOM,,Doncaster,Lodge Farm,DN11 9DL,ILA,Restricted,154357.0,,,,,,53.48051,-1.15743,United Kingdom,POINT (-1.15743 53.48051),53.48051-1.15743
13106,UNITED KINGDOM,,Bradford,73 Westgate Hill Street,BD4 0SL,Zayo POP,Fiber Only,144804.0,BFD-225,BRFREN32,,,,53.76216,-1.69194,United Kingdom,POINT (-1.69194 53.76216),53.76216-1.69194
26007,UNITED KINGDOM,,Leeds,Westgate Hill St,BD4 0SL,ILA,Restricted,154097.0,,,,,,53.76216,-1.69194,Leeds GBR,POINT (-1.69194 53.76216),53.76216-1.69194
